ID Поста;Дата публикации;Текст;Количество лайков;Количество репостов;Количество просмотров;Количество комментариев;Хэш;Иллюстрации;Ссылка на видео;Ссылка на пост;Ссылка на группу
877967;2022-04-19 18:00:02;"RAPNEWS РАЗЫГРЫВАЕТ 4 БИЛЕТА НА КОНЦЕРТ МАША HIMA ?
 
Мария Химченко сочиняет песни о том, как сложно быть женщиной, не боясь заострять внимание на бытовых мелочах. Ее героиня – не cуперженщина, уничтожающая хейтеров одним взглядом, а обычная девушка. При этом Hima может баттлить плечом к плечу с Alphavite, выступать с живым бэндом, зло диссить бывших в своих треках или петь нежные песни под гитару. 
 
Условия: 
1. Быть подписанным на [club53109527|RapNews].
2. Вступить во [club212510463|встречу концерта].
2. Сделать репост этой записи. 

Итоги 23 апреля в 21:00. Приходите на концерт!";42;13;9713;5;bNBj5su3gMmWrAaa8bfHeup1Ed6U;https://sun9-65.userapi.com/s/v1/ig2/xdW5RPBWMrfp1QjR42s3EffWwgueL_IQN6sgcyg9uyqn0vTxlkkqU3bXYd0chtw8b9QMAf48vqA32VG9uwC3bfpA.jpg?size=130x130&quality=95&type=album;;https://vk.com/wall-53109527_877967;https://vk.com/club53109527
878429;2022-04-22 11:03:47;"Новый альбом ремиксов ?? [club27679999|Svyat] - «Бачата»

Перед вашими глазами танцевальные ремиксы на один из треков Святослава. Вполне возможно, что эти песни заиграют на радио и в клубах!

Приятного прослушивания:";35;10;4273;4;i-jZ_JbeeiBpKwc-6yF-sTUdmlYM;https://sun1-55.userapi.com/s/v1/ig2/fvohdfWGUyqCtJaiuNfjRSqG-BcqTelS840S5uHMnNDJ_YKmW5TXQhSVb83rrrYGRjkeOaHSNvTfZda5EgUnL-tj.jpg?size=130x130&quality=95&type=album;;https://vk.com/wall-53109527_878429;https://vk.com/club53109527
878393;2022-04-22 00:27:57;"Новый альбом ?? GONE.FLUDD x SUBBAT — «НЕИЗДАННОЕ»

Парни решили дронуть целый альбом с неизданными песня с 2014 по 2017 годы.";46;82;8077;0;rsmVvAyS9mfvhe8aNN__X1xvpteW;https://sun1-54.userapi.com/s/v1/ig2/KFNX6IMX7oBEkuhUcy-B5a20Cj008CwgS15IMFzDAzJAHRTNOhE77HrpKLSVExGWfeoJuiBZHw_YCE7mFvCDyC8s.jpg?size=130x130&quality=95&type=album;;https://vk.com/wall-53109527_878393;https://vk.com/club53109527
878392;2022-04-22 00:24:12;"Новый трек ?? LDMA х Loqiemean — «Make It Pop»

Приятного прослушивания!";68;97;7529;0;sLyD4ESYcVAjvjcMIeyG6D2lNTiV;https://sun9-22.userapi.com/s/v1/ig2/O26iJgYWdshaMohE2goA9X9WQ7QBzct6IKsMiUdyp8OiPJVzT5CeJlRt1WXy7gQrBSDuZFhzDf0WIhfZLSqQWdYC.jpg?size=130x130&quality=95&type=album;;https://vk.com/wall-53109527_878392;https://vk.com/club53109527
878391;2022-04-22 00:23:00;"Новый трек ?? ВИТЯ АК x MUROVEI — «ОРЕХОВАЯ ПАСТА»

Приятного прослушивания!";60;60;6559;1;sxNohf2X73HtZ6swBEr892EHx0-i;https://sun9-12.userapi.com/s/v1/ig2/fHvaLjhNok18QSc_RldICtn2fb0Owi82nUiSyvjTLxKtVh2-dmLtKCSaQrkdyVvuZHyl1aDpXieNKPZoVVEVvqyg.jpg?size=130x130&quality=95&type=album;;https://vk.com/wall-53109527_878391;https://vk.com/club53109527
